coef,stderr,z,P>|z|,[0.025,0.975]
logBetweennessCentrality,0.1269,0.132,0.959,0.338,-0.133,0.386
logInLoad,-0.7119,0.018,-40.268,0.000,-0.747,-0.677
logOutLoad,0.4306,0.040,10.782,0.000,0.352,0.509
logEigenvectorCentrality,0.1975,2.807,0.070,0.944,-5.305,5.700
interRegion,0.2067,0.153,1.353,0.176,-0.093,0.506
logSourceOutLoad,-0.1396,0.050,-2.791,0.005,-0.238,-0.042
intercept,-0.7189,0.520,-1.382,0.167,-1.739,0.301
airport_128,1.0382,0.493,2.107,0.035,0.072,2.004
airport_134,1.0763,0.844,1.276,0.202,-0.577,2.730
airport_144,-0.0207,0.986,-0.021,0.983,-1.953,1.912
airport_149,1.1575,0.852,1.358,0.174,-0.513,2.828
airport_174,-1.1911,0.684,-1.740,0.082,-2.533,0.150
airport_187,-0.7006,0.068,-10.379,0.000,-0.833,-0.568
airport_206,-0.0796,0.381,-0.209,0.835,-0.827,0.668
airport_233,0.3521,0.691,0.509,0.610,-1.003,1.707
airport_256,0.2509,1.128,0.222,0.824,-1.960,2.462
airport_257,0.4149,0.144,2.881,0.004,0.133,0.697
airport_281,0.8801,0.822,1.070,0.284,-0.731,2.492
airport_308,-0.9101,1.063,-0.856,0.392,-2.994,1.174
airport_349,1.2685,0.510,2.489,0.013,0.270,2.268
airport_371,-1.4616,0.689,-2.121,0.034,-2.812,-0.111
airport_403,-1.0207,0.929,-1.099,0.272,-2.842,0.800
airport_411,-0.0623,0.636,-0.098,0.922,-1.309,1.185
airport_413,-1.4090,0.604,-2.333,0.020,-2.593,-0.225
airport_431,0.2579,0.956,0.270,0.787,-1.617,2.132
airport_441,-1.3060,0.635,-2.056,0.040,-2.551,-0.061
airport_468,-0.2517,0.142,-1.778,0.075,-0.529,0.026
airport_476,-1.8704,0.723,-2.587,0.010,-3.287,-0.453
airport_485,-0.1418,0.751,-0.189,0.850,-1.614,1.330
airport_527,-0.0787,0.690,-0.114,0.909,-1.430,1.273
airport_555,-0.5036,1.181,-0.427,0.670,-2.818,1.810
airport_597,0.8367,0.535,1.563,0.118,-0.212,1.886
airport_609,0.4087,0.890,0.459,0.646,-1.337,2.154
airport_610,1.5302,0.863,1.773,0.076,-0.161,3.222
airport_628,0.9791,0.369,2.650,0.008,0.255,1.703
airport_671,0.4609,0.494,0.934,0.351,-0.507,1.428
airport_700,-1.2407,0.402,-3.083,0.002,-2.029,-0.452
airport_742,-0.7260,0.434,-1.674,0.094,-1.576,0.124
airport_770,1.2860,0.415,3.097,0.002,0.472,2.100
airport_809,-0.0203,0.887,-0.023,0.982,-1.759,1.718
airport_815,-0.6906,0.662,-1.044,0.297,-1.987,0.606
